Tstart,Tinterval,ExtraSamples,RequestedLength,Length,A,B
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0315408781170845,-9.06216621398926
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0585497617721558,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0855586379766464,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.112567521631718,-9.77263736724854
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.135074928402901,-9.77263736724854
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.162083804607391,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.184591203927994,-9.41740131378174
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.202597126364708,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.220603048801422,-8.70632076263428
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.229606002569199,-8.35108470916748
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-7.8182315826416
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,-7.10776090621948
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-6.39667940139771
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-5.68620872497559
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-4.97573757171631
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-4.08703899383545
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-3.02072215080261
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.252113401889801,-2.13263344764709
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-1.24454486370087
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.234107479453087,-0.355845808982849
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.220603048801422,0.709860503673553
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,1.77556693553925
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.189092680811882,2.66426587104797
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,3.55235457420349
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.148579359054565,4.26282548904419
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.121570482850075,5.32914209365845
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,6.03961324691772
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0765556842088699,6.92831182479858
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0495468005537987,7.46116542816162
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0225379187613726,8.17163562774658
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.00447096163406968,8.70510005950928
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0314798429608345,8.88271713256836
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0539872422814369,9.23795318603516
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,9.59318828582764
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.103503525257111,9.77080631256104
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.126010924577713,9.77080631256104
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.148518323898315,9.59318828582764
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,9.41557025909424
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,9.23795318603516
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,8.88271713256836
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.220542013645172,8.52748203277588
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,7.9940185546875
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,7.28354740142822
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,6.5730767250061
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,5.86199522018433
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,5.15152454376221
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,4.26282548904419
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,3.55235457420349
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,2.48603773117065
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.247550889849663,1.4203314781189
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,0.532242774963379
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.229544967412949,-0.533463537693024
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.216040521860123,-1.4221625328064
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.19803461432457,-2.31025123596191
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.180028691887856,-3.37656784057617
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.162022769451141,-4.26465654373169
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.13501387834549,-5.15335559844971
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.112506486475468,-5.86382627487183
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0854976028203964,-6.5742974281311
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.062990203499794,-7.28537845611572
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.035981323570013,-7.8182315826416
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,-8.52870273590088
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0180364400148392,-8.88454818725586
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0495468005537987,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0765556842088699,-9.41740131378174
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.126071959733963,-9.77263736724854
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.153080850839615,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.171086758375168,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.189092680811882,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,-9.06216621398926
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,-8.52870273590088
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-7.995849609375
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.252113401889801,-7.64061403274536
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-6.93014335632324
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-6.04144430160522
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-5.33097314834595
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-4.44227409362793
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-3.55418562889099
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-2.66548657417297
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.247611925005913,-1.77739799022675
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-0.711081266403198
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,0.177007347345352
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.211600080132484,1.24271368980408
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.19809564948082,2.13080239295959
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.180089727044106,3.19711899757385
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.153080850839615,4.08520746231079
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.135074928402901,4.97390651702881
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.112567521631718,5.68437767028809
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0900601223111153,6.39545869827271
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.063051238656044,7.10592985153198
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.036042358726263,7.8164005279541
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.00903347879648209,8.34986400604248
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0179754011332989,8.88271713256836
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0449842810630798,9.23795318603516
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0674916803836823,9.41557025909424
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0945005640387535,9.59318828582764
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.117007963359356,9.77080631256104
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.13501387834549,9.77080631256104
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.157521292567253,9.59318828582764
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.180028691887856,9.41557025909424
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.19353312253952,9.23795318603516
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.211539044976234,8.70510005950928
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,8.17163562774658
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.238547936081886,7.63878297805786
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,7.10592985153198
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,6.39545869827271
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,5.50675964355469
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,4.79628896713257
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,3.90758991241455
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,2.84188365936279
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,1.95318460464478
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,1.06509602069855
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,-0.000610370188951492
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.22504349052906,-0.888698995113373
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,-1.95501565933228
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,-2.84310436248779
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,-3.73180341720581
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.148518323898315,-4.79750967025757
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.126010924577713,-5.50859117507935
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0990020483732224,-6.21906185150146
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,-7.10776090621948
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0494857616722584,-7.64061403274536
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0224768817424774,-8.1734676361084
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.00903347879648209,-8.70632076263428
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0315408781170845,-9.06216621398926
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.063051238656044,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0900601223111153,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.112567521631718,-9.77263736724854
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.139576405286789,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.162083804607391,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.184591203927994,-9.41740131378174
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.202597126364708,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.216101571917534,-8.88454818725586
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.234107479453087,-8.35108470916748
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-7.8182315826416
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,-7.10776090621948
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-6.39667940139771
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-5.68620872497559
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-4.97573757171631
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-4.08703899383545
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-3.02072215080261
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.25661489367485,-2.13263344764709
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-1.24454486370087
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.234107479453087,-0.178228095173836
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.220603048801422,0.709860503673553
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,1.59794914722443
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.184591203927994,2.66426587104797
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.16658528149128,3.55235457420349
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.144077882170677,4.44044303894043
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.121570482850075,5.32914209365845
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,6.03961324691772
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0720541998744011,6.75069427490234
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0495468005537987,7.46116542816162
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0270393993705511,7.9940185546875
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.00447096163406968,8.70510005950928
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.026978362351656,9.06033515930176
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0584887228906155,9.23795318603516
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0809961259365082,9.41557025909424
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.103503525257111,9.59318828582764
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.126010924577713,9.77080631256104
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.148518323898315,9.77080631256104
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.171025723218918,9.59318828582764
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.189031645655632,9.23795318603516
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.207037568092346,8.88271713256836
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.220542013645172,8.52748203277588
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.234046444296837,7.9940185546875
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,7.46116542816162
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.252052366733551,6.75069427490234
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,5.86199522018433
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,5.15152454376221
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,4.26282548904419
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.261055320501328,3.37473678588867
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.2565538585186,2.48603773117065
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.247550889849663,1.4203314781189
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.243049412965775,0.532242774963379
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.229544967412949,-0.533463537693024
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.216040521860123,-1.4221625328064
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.19803461432457,-2.31025123596191
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.180028691887856,-3.37656784057617
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.162022769451141,-4.26465654373169
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.13501387834549,-4.97573757171631
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.112506486475468,-5.86382627487183
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.0899990871548653,-6.5742974281311
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.062990203499794,-7.28537845611572
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.035981323570013,-7.8182315826416
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,-0.00897244177758694,-8.52870273590088
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0180364400148392,-8.88454818725586
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0450453199446201,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0720541998744011,-9.41740131378174
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.0990630835294724,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.126071959733963,-9.77263736724854
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.148579359054565,-9.77263736724854
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.175588250160217,-9.59501934051514
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.19359415769577,-9.23978424072266
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.207098603248596,-9.06216621398926
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.22510452568531,-8.52870273590088
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.243110448122025,-7.995849609375
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.252113401889801,-7.46299648284912
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-6.93014335632324
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-6.04144430160522
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.270119339227676,-5.33097314834595
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-4.44227409362793
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.265617847442627,-3.55418562889099
-1.77573994619706e-07,1.59999999027605e-07,0,6250,6250,0.261116355657578,-2.66548657417297
